地区,自治体,学校No,学校名,種別,機器No,SN
岐阜地区,岐阜市,1,岐阜小,生徒,0134,LYR7J40Q
岐阜地区,岐阜市,1,岐阜小,生徒,0135,LZKOZCAZ
岐阜地区,岐阜市,1,岐阜小,生徒,0136,8UBK9BNH
岐阜地区,岐阜市,1,岐阜小,生徒,0137,CFV3S4PC
岐阜地区,岐阜市,1,岐阜小,生徒,0138,UB8S7MWS
岐阜地区,岐阜市,1,岐阜小,生徒,0139,2NO29P5L
岐阜地区,岐阜市,1,岐阜小,生徒,0140,C40ASVC4
岐阜地区,岐阜市,1,岐阜小,生徒,0141,E482GBFM
岐阜地区,岐阜市,1,岐阜小,生徒,0142,WKB09ALH
岐阜地区,岐阜市,1,岐阜小,生徒,0143,YIXXRP6F
岐阜地区,岐阜市,1,岐阜小,生徒,0144,65BPY9KN
岐阜地区,岐阜市,1,岐阜小,生徒,0145,JRK8Z52S
岐阜地区,岐阜市,1,岐阜小,生徒,0146,G3PSVOVZ
岐阜地区,岐阜市,1,岐阜小,生徒,0147,K91ROWGI
岐阜地区,岐阜市,1,岐阜小,生徒,0148,40UMBAUM
岐阜地区,岐阜市,1,岐阜小,生徒,0149,MHNDVLVZ
岐阜地区,岐阜市,1,岐阜小,生徒,0150,OWK1CBEE
岐阜地区,岐阜市,1,岐阜小,生徒,0151,3M67JANG
岐阜地区,岐阜市,1,岐阜小,生徒,0152,2ATGMJPH
岐阜地区,岐阜市,1,岐阜小,生徒,0153,03W3RSJC
岐阜地区,岐阜市,1,岐阜小,生徒,0154,NSOSBKJQ
岐阜地区,岐阜市,1,岐阜小,生徒,0155,8T5CNV8Z
岐阜地区,岐阜市,1,岐阜小,生徒,0156,56UKCWYO
岐阜地区,岐阜市,1,岐阜小,生徒,0157,0NHKVU6E
岐阜地区,岐阜市,1,岐阜小,生徒,0158,AZWQY768
岐阜地区,岐阜市,1,岐阜小,生徒,0159,HHDOUJPI
岐阜地区,岐阜市,1,岐阜小,生徒,0160,N3GN1E49
岐阜地区,岐阜市,1,岐阜小,生徒,0161,TTPVPU64
岐阜地区,岐阜市,1,岐阜小,生徒,0162,KNKPPBMX
岐阜地区,岐阜市,1,岐阜小,生徒,0163,XAAVOXPB
岐阜地区,岐阜市,1,岐阜小,生徒,0164,RSPHTBQ5
岐阜地区,岐阜市,1,岐阜小,生徒,0165,CNJ5QLWL
岐阜地区,岐阜市,1,岐阜小,生徒,0166,FT1XM1SU
岐阜地区,岐阜市,1,岐阜小,生徒,0167,OM4WG80V
岐阜地区,岐阜市,1,岐阜小,生徒,0168,SN4UPB0H
岐阜地区,岐阜市,1,岐阜小,生徒,0169,9TDDXUT6
岐阜地区,岐阜市,1,岐阜小,生徒,0170,MPC0QAAI
岐阜地区,岐阜市,1,岐阜小,生徒,0171,BPQ4WT46
岐阜地区,岐阜市,1,岐阜小,生徒,0172,V84UHPVS
岐阜地区,岐阜市,1,岐阜小,生徒,0173,VP4E979L
岐阜地区,岐阜市,1,岐阜小,生徒,0174,H4PE7KEL
岐阜地区,岐阜市,1,岐阜小,生徒,0175,1WZOFF58
岐阜地区,岐阜市,1,岐阜小,生徒,0176,U0D0YHCG
岐阜地区,岐阜市,1,岐阜小,生徒,0177,S7Z5D9VI
岐阜地区,岐阜市,1,岐阜小,生徒,0178,4JHY9XZT
岐阜地区,岐阜市,1,岐阜小,生徒,0179,1T2TPAD6
岐阜地区,岐阜市,1,岐阜小,生徒,0180,D299BQR8
岐阜地区,岐阜市,1,岐阜小,生徒,0181,94OONBAI
岐阜地区,岐阜市,1,岐阜小,生徒,0182,0M0EZHCO
岐阜地区,岐阜市,1,岐阜小,生徒,0183,UW8M6CG6
岐阜地区,岐阜市,1,岐阜小,生徒,0184,W5YQP34J
岐阜地区,岐阜市,1,岐阜小,生徒,0185,351F9VOV
岐阜地区,岐阜市,1,岐阜小,生徒,0186,PLETTKGG
岐阜地区,岐阜市,1,岐阜小,生徒,0187,1HTFKA6U
岐阜地区,岐阜市,1,岐阜小,生徒,0188,UO1ZPK40
岐阜地区,岐阜市,1,岐阜小,生徒,0189,9JHKB3FR
岐阜地区,岐阜市,1,岐阜小,生徒,0190,P4BLV6SG
岐阜地区,岐阜市,1,岐阜小,生徒,0191,N4N1TBNZ
岐阜地区,岐阜市,1,岐阜小,生徒,0192,EMKMOXK4
岐阜地区,岐阜市,1,岐阜小,生徒,0193,1NZTC5RL
岐阜地区,岐阜市,1,岐阜小,生徒,0194,9L4JCO3B
岐阜地区,岐阜市,1,岐阜小,生徒,0195,XUTWABH6
岐阜地区,岐阜市,1,岐阜小,生徒,0196,XOW9SP42
岐阜地区,岐阜市,1,岐阜小,生徒,0197,NYGX9XI9
岐阜地区,岐阜市,1,岐阜小,生徒,0198,5867F2CY
岐阜地区,岐阜市,1,岐阜小,生徒,0199,Y5LPYK4T
岐阜地区,岐阜市,1,岐阜小,生徒,0200,KZC1BRQ0
岐阜地区,岐阜市,1,岐阜小,生徒,0201,2H7FSVC3
岐阜地区,岐阜市,1,岐阜小,生徒,0202,6MFO0QCL
岐阜地区,岐阜市,1,岐阜小,生徒,0203,DN1HLPN6
岐阜地区,岐阜市,1,岐阜小,生徒,0204,ZD3TVQUI
岐阜地区,岐阜市,1,岐阜小,生徒,0205,U0IQGS6K
岐阜地区,岐阜市,1,岐阜小,生徒,0206,SX3YV4ZQ
岐阜地区,岐阜市,1,岐阜小,生徒,0207,IFUCGAME
岐阜地区,岐阜市,1,岐阜小,生徒,0208,JOL2B5VL
岐阜地区,岐阜市,1,岐阜小,生徒,0209,WDPB5Z0O
岐阜地区,岐阜市,1,岐阜小,生徒,0210,GZNNVUQV
岐阜地区,岐阜市,1,岐阜小,生徒,0211,NZOQHNSL
岐阜地区,岐阜市,1,岐阜小,生徒,0212,K1B18639
岐阜地区,岐阜市,1,岐阜小,生徒,0213,EXUYK8OD
岐阜地区,岐阜市,1,岐阜小,生徒,0214,ZVI45UYQ
岐阜地区,岐阜市,1,岐阜小,生徒,0215,RQ7VFL58
岐阜地区,岐阜市,1,岐阜小,生徒,0216,75JWHJ6F
岐阜地区,岐阜市,1,岐阜小,生徒,0217,8WIQK3FS
岐阜地区,岐阜市,1,岐阜小,生徒,0218,6DL4L5QX
岐阜地区,岐阜市,1,岐阜小,生徒,0219,5BF9FZQM
岐阜地区,岐阜市,1,岐阜小,生徒,0220,TW8YLTDU
岐阜地区,岐阜市,1,岐阜小,生徒,0221,QXEB7J3S
岐阜地区,岐阜市,1,岐阜小,生徒,0222,6KH0OKPB
岐阜地区,岐阜市,1,岐阜小,生徒,0223,JWI0V6DC
岐阜地区,岐阜市,1,岐阜小,生徒,0224,2R4IUNNI
岐阜地区,岐阜市,1,岐阜小,生徒,0225,QDWIB3JX
岐阜地区,岐阜市,1,岐阜小,生徒,0226,V3F5BPHU
岐阜地区,岐阜市,1,岐阜小,生徒,0227,D01ERHTJ
岐阜地区,岐阜市,1,岐阜小,生徒,0228,Z9BDJF58
岐阜地区,岐阜市,1,岐阜小,生徒,0229,NBG51EM5
岐阜地区,岐阜市,1,岐阜小,生徒,0230,54WDUPC7
岐阜地区,岐阜市,1,岐阜小,生徒,0231,FL1WFK23
岐阜地区,岐阜市,1,岐阜小,生徒,0232,00DGSW03
岐阜地区,岐阜市,1,岐阜小,生徒,0233,4GYCE9ZF
岐阜地区,岐阜市,1,岐阜小,生徒,0234,3DT49NTQ
岐阜地区,岐阜市,1,岐阜小,生徒,0235,73RVUTBD
岐阜地区,岐阜市,1,岐阜小,生徒,0236,ZECYUKHJ
岐阜地区,岐阜市,1,岐阜小,生徒,0237,KFL94ACA
岐阜地区,岐阜市,1,岐阜小,生徒,0238,14ZI1U2P
岐阜地区,岐阜市,1,岐阜小,生徒,0239,OSCX6V1L
岐阜地区,岐阜市,1,岐阜小,生徒,0240,JYMA3EUJ
岐阜地区,岐阜市,1,岐阜小,生徒,0241,VLGER54P
岐阜地区,岐阜市,1,岐阜小,生徒,0242,XO0FH4I4
岐阜地区,岐阜市,1,岐阜小,生徒,0243,FQ4BUMDX
岐阜地区,岐阜市,1,岐阜小,生徒,0244,KRRG11U3
岐阜地区,岐阜市,1,岐阜小,生徒,0245,LOA712ZO
岐阜地区,岐阜市,1,岐阜小,生徒,0246,9THT953F
岐阜地区,岐阜市,1,岐阜小,生徒,0247,BMNTPBGA
岐阜地区,岐阜市,1,岐阜小,生徒,0248,VPRKG4L7
岐阜地区,岐阜市,1,岐阜小,生徒,0249,JZSSXI48
岐阜地区,岐阜市,1,岐阜小,生徒,0250,WGL3CCGN
岐阜地区,岐阜市,1,岐阜小,生徒,0251,USNZEAJX
岐阜地区,岐阜市,1,岐阜小,生徒,0252,DJTGCVXQ
岐阜地区,岐阜市,1,岐阜小,生徒,0253,T2UAHS8D
岐阜地区,岐阜市,1,岐阜小,生徒,0254,2OHC3ARQ
岐阜地区,岐阜市,1,岐阜小,生徒,0255,PVI2QEET
岐阜地区,岐阜市,1,岐阜小,生徒,0256,I2X5DOND
岐阜地区,岐阜市,1,岐阜小,生徒,0257,H0WZ8Z8Z
岐阜地区,岐阜市,1,岐阜小,生徒,0258,2CKHQUNV
岐阜地区,岐阜市,1,岐阜小,生徒,0259,AHOCFRLA
岐阜地区,岐阜市,1,岐阜小,生徒,0260,DJ5ZZE2O
岐阜地区,岐阜市,1,岐阜小,生徒,0261,V5X8ZPJT
岐阜地区,岐阜市,1,岐阜小,生徒,0262,ICV3W7JG
岐阜地区,岐阜市,1,岐阜小,生徒,0263,Z7FDW370
岐阜地区,岐阜市,1,岐阜小,生徒,0264,819ZFCF5
岐阜地区,岐阜市,1,岐阜小,生徒,0265,MEPGQIRO
岐阜地区,岐阜市,1,岐阜小,生徒,0266,5W6NJHML
岐阜地区,岐阜市,1,岐阜小,生徒,0267,E97BO0QM
岐阜地区,岐阜市,1,岐阜小,生徒,0268,TRD2BI9X
岐阜地区,岐阜市,1,岐阜小,生徒,0269,Q49JYM0X
岐阜地区,岐阜市,1,岐阜小,生徒,0270,XHJ05RLK
岐阜地区,岐阜市,1,岐阜小,生徒,0271,8PKK9BM3
岐阜地区,岐阜市,1,岐阜小,生徒,0272,TV6G4RGD
岐阜地区,岐阜市,1,岐阜小,生徒,0273,Y1Y0ITG9
岐阜地区,岐阜市,1,岐阜小,生徒,0274,K8HLWJD5
岐阜地区,岐阜市,1,岐阜小,生徒,0275,G27K0Q7Q
岐阜地区,岐阜市,2,明郷小,生徒,0001,I8T693JV
岐阜地区,岐阜市,2,明郷小,生徒,0002,6BF4HQGL
岐阜地区,岐阜市,2,明郷小,生徒,0003,J5IXHL6D
岐阜地区,岐阜市,2,明郷小,生徒,0004,O0CH6BCZ
岐阜地区,岐阜市,2,明郷小,生徒,0005,218MVM5N
岐阜地区,岐阜市,2,明郷小,生徒,0006,0RGC2US6
岐阜地区,岐阜市,2,明郷小,生徒,0007,SA4QFNE9
岐阜地区,岐阜市,2,明郷小,生徒,0008,TA22G50K
岐阜地区,岐阜市,2,明郷小,生徒,0009,9VSH3P6O
岐阜地区,岐阜市,2,明郷小,生徒,0010,M2DL3V2W
岐阜地区,岐阜市,2,明郷小,生徒,0011,B9BLMTOU
岐阜地区,岐阜市,2,明郷小,生徒,0012,YGZQUJUS
岐阜地区,岐阜市,2,明郷小,生徒,0013,3XSMLBN8
岐阜地区,岐阜市,2,明郷小,生徒,0014,PGUYRST0
岐阜地区,岐阜市,2,明郷小,生徒,0015,2U1JSN94
岐阜地区,岐阜市,2,明郷小,生徒,0016,FI10CJOO
岐阜地区,岐阜市,2,明郷小,生徒,0017,GT8WPGT1
岐阜地区,岐阜市,2,明郷小,生徒,0018,N4VDGYUE
岐阜地区,岐阜市,2,明郷小,生徒,0019,M6V85NOG
岐阜地区,岐阜市,2,明郷小,生徒,0020,XYB5JALF
岐阜地区,岐阜市,2,明郷小,生徒,0021,3ONEF8VE
岐阜地区,岐阜市,2,明郷小,生徒,0022,AMJQCYN4
岐阜地区,岐阜市,2,明郷小,生徒,0023,S09D99T8
岐阜地区,岐阜市,2,明郷小,生徒,0024,5VZLALJA
岐阜地区,岐阜市,2,明郷小,生徒,0025,80KYIJRW
岐阜地区,岐阜市,2,明郷小,生徒,0026,ON1U25H6
岐阜地区,岐阜市,2,明郷小,生徒,0027,KKK92J6V
岐阜地区,岐阜市,2,明郷小,生徒,0028,9E0YCMHY
岐阜地区,岐阜市,2,明郷小,生徒,0029,ACKFTEB5
岐阜地区,岐阜市,2,明郷小,生徒,0030,6LTBO81W
岐阜地区,岐阜市,2,明郷小,生徒,0031,6TRYPDY2
岐阜地区,岐阜市,2,明郷小,生徒,0032,IQWPELHF
岐阜地区,岐阜市,2,明郷小,生徒,0033,Q9W28XU3
岐阜地区,岐阜市,2,明郷小,生徒,0034,NE0THE0J
岐阜地区,岐阜市,2,明郷小,生徒,0035,M4V2OW0L
岐阜地区,岐阜市,2,明郷小,生徒,0036,DDLFESKS
岐阜地区,岐阜市,2,明郷小,生徒,0037,1X80A7Z6
岐阜地区,岐阜市,2,明郷小,生徒,0038,11OCBN4I
岐阜地区,岐阜市,2,明郷小,生徒,0039,6ZJPXNHV
岐阜地区,岐阜市,2,明郷小,生徒,0040,OZEZVF4U
岐阜地区,岐阜市,2,明郷小,生徒,0041,GARNJMCA
岐阜地区,岐阜市,2,明郷小,生徒,0042,O2SMD282
岐阜地区,岐阜市,2,明郷小,生徒,0043,SNANDHF0
岐阜地区,岐阜市,2,明郷小,生徒,0044,UA8NZH9O
岐阜地区,岐阜市,2,明郷小,生徒,0045,PKZ4REO3
岐阜地区,岐阜市,2,明郷小,生徒,0046,QBH2O7Q4
岐阜地区,岐阜市,2,明郷小,生徒,0047,ES92NU4F
岐阜地区,岐阜市,2,明郷小,生徒,0048,NS7S8NOH
岐阜地区,岐阜市,2,明郷小,生徒,0049,IALUK2IS
岐阜地区,岐阜市,2,明郷小,生徒,0050,F68BTSPV
岐阜地区,岐阜市,2,明郷小,生徒,0051,14SWKA3F
岐阜地区,岐阜市,2,明郷小,生徒,0052,EB56YBP6
岐阜地区,岐阜市,2,明郷小,生徒,0053,3X1V68K6
岐阜地区,岐阜市,2,明郷小,生徒,0054,IDXPVR1L
岐阜地区,岐阜市,2,明郷小,生徒,0055,5S5U9RQP
岐阜地区,岐阜市,2,明郷小,生徒,0056,PS93VURB
岐阜地区,岐阜市,2,明郷小,生徒,0057,BIMVYZ7S
岐阜地区,岐阜市,2,明郷小,生徒,0058,E3NBOP5E
岐阜地区,岐阜市,2,明郷小,生徒,0059,NMAPM8OG
岐阜地区,岐阜市,2,明郷小,生徒,0060,2RYINIQR
岐阜地区,岐阜市,2,明郷小,生徒,0061,YGE0XF5C
岐阜地区,岐阜市,2,明郷小,生徒,0062,MMXKWLCT
岐阜地区,岐阜市,2,明郷小,生徒,0063,797G81W3
岐阜地区,岐阜市,2,明郷小,生徒,0064,LTRQ5WQ2
岐阜地区,岐阜市,2,明郷小,生徒,0065,IOQWI744
岐阜地区,岐阜市,2,明郷小,生徒,0066,NNRSP6VH
岐阜地区,岐阜市,2,明郷小,生徒,0067,JITURFAT
岐阜地区,岐阜市,2,明郷小,生徒,0068,G9TJTO94
岐阜地区,岐阜市,2,明郷小,生徒,0069,RICF11PD
岐阜地区,岐阜市,2,明郷小,生徒,0070,PK1RVV0X
岐阜地区,岐阜市,2,明郷小,生徒,0071,PS3VMHR5
岐阜地区,岐阜市,2,明郷小,生徒,0072,8QZH34AS
岐阜地区,岐阜市,2,明郷小,生徒,0073,UHXL3UCQ
岐阜地区,岐阜市,2,明郷小,生徒,0074,93QKGHZF
岐阜地区,岐阜市,2,明郷小,生徒,0075,6P6ZFOUX
岐阜地区,岐阜市,2,明郷小,生徒,0076,AQC428R0
岐阜地区,岐阜市,2,明郷小,生徒,0077,XEGB5HSM
岐阜地区,岐阜市,2,明郷小,生徒,0078,NMFK05X2
岐阜地区,岐阜市,2,明郷小,生徒,0079,PH26WKOS
岐阜地区,岐阜市,2,明郷小,生徒,0080,9652L3YD
岐阜地区,岐阜市,2,明郷小,生徒,0081,C00JKMRZ
岐阜地区,岐阜市,2,明郷小,生徒,0082,BIKJKQJO
岐阜地区,岐阜市,2,明郷小,生徒,0083,4SWLRYRA
岐阜地区,岐阜市,2,明郷小,生徒,0084,R21CQ2S5
岐阜地区,岐阜市,2,明郷小,生徒,0085,12XC6LLA
岐阜地区,岐阜市,2,明郷小,生徒,0086,BE1KE1OW
岐阜地区,岐阜市,2,明郷小,生徒,0087,R2S75D2I
岐阜地区,岐阜市,2,明郷小,生徒,0088,9BSR369V
岐阜地区,岐阜市,2,明郷小,生徒,0089,AZ79YLY0
岐阜地区,岐阜市,2,明郷小,生徒,0090,S4GHXIWW
岐阜地区,岐阜市,2,明郷小,生徒,0091,WZUMUD93
岐阜地区,岐阜市,2,明郷小,生徒,0092,7NZO67M4
岐阜地区,岐阜市,2,明郷小,生徒,0093,JM4D5F5V
岐阜地区,岐阜市,2,明郷小,生徒,0094,NGPWSDVK
岐阜地区,岐阜市,2,明郷小,生徒,0095,ZJYATZK5
岐阜地区,岐阜市,2,明郷小,生徒,0096,4DRC80V7
岐阜地区,岐阜市,2,明郷小,生徒,0097,RG387B2Z
岐阜地区,岐阜市,2,明郷小,生徒,0098,PZ3I95BF
岐阜地区,岐阜市,2,明郷小,生徒,0099,MT6OYCP8
岐阜地区,岐阜市,2,明郷小,生徒,0100,V5IPAIU5
岐阜地区,岐阜市,2,明郷小,生徒,0101,HIERNF2E
岐阜地区,岐阜市,2,明郷小,生徒,0102,G19PHQOB
岐阜地区,岐阜市,2,明郷小,生徒,0103,59TV0TH8
岐阜地区,岐阜市,2,明郷小,生徒,0104,EXEY5LQJ
岐阜地区,岐阜市,2,明郷小,生徒,0105,8MGJJ6JI
岐阜地区,岐阜市,2,明郷小,生徒,0106,4GRWOLQ7
岐阜地区,岐阜市,2,明郷小,生徒,0107,R1E6ORYK
岐阜地区,岐阜市,2,明郷小,生徒,0108,5YWOKFU5
